1	9.53199e-20	0.01	0.983301	3.62168e-18	
2	-nan	0.02	0.983303	3.62168e-18	
3	-nan	0.03	0.983307	3.62168e-18	
4	-nan	0.04	0.983313	3.62168e-18	
5	-nan	0.05	0.98332	3.62168e-18	
6	-nan	0.06	0.983329	3.62168e-18	
7	-nan	0.07	0.98334	3.62168e-18	
8	-nan	0.08	0.983352	3.62168e-18	
9	-nan	0.09	0.983365	3.62168e-18	
10	-nan	0.1	0.983381	3.62168e-18	
11	-nan	0.11	0.983398	3.62168e-18	
12	-nan	0.12	0.983416	3.62168e-18	
13	-nan	0.13	0.983436	3.62168e-18	
14	-nan	0.14	0.983458	3.62168e-18	
15	-nan	0.15	0.983481	3.62168e-18	
16	-nan	0.16	0.983506	3.62168e-18	
17	-nan	0.17	0.983533	3.62168e-18	
18	-nan	0.18	0.983561	3.62168e-18	
19	-nan	0.19	0.983591	3.62168e-18	
20	-nan	0.2	0.983622	3.62168e-18	
21	-nan	0.21	0.983655	3.62168e-18	
22	-nan	0.22	0.983689	3.62168e-18	
23	-nan	0.23	0.983726	3.62168e-18	
24	-nan	0.24	0.983763	3.62168e-18	
25	-nan	0.25	0.983802	3.62168e-18	
26	-nan	0.26	0.983843	3.62168e-18	
27	-nan	0.27	0.983885	3.62168e-18	
28	-nan	0.28	0.983929	3.62168e-18	
29	-nan	0.29	0.983975	3.62168e-18	
30	-nan	0.3	0.984022	3.62168e-18	
31	-nan	0.31	0.98407	3.62168e-18	
32	-nan	0.32	0.984121	3.62168e-18	
33	-nan	0.33	0.984172	3.62168e-18	
34	-nan	0.34	0.984225	3.62168e-18	
35	-nan	0.35	0.98428	3.62168e-18	
36	-nan	0.36	0.984336	3.62168e-18	
37	-nan	0.37	0.984394	3.62168e-18	
38	-nan	0.38	0.984454	3.62168e-18	
39	-nan	0.39	0.984514	3.62168e-18	
40	-nan	0.4	0.984577	3.62168e-18	
41	-nan	0.41	0.98464	3.62168e-18	
42	-nan	0.42	0.984706	3.62168e-18	
43	-nan	0.43	0.984773	3.62168e-18	
44	-nan	0.44	0.984841	3.62168e-18	
45	-nan	0.45	0.984911	3.62168e-18	
46	-nan	0.46	0.984982	3.62168e-18	
47	-nan	0.47	0.985054	3.62168e-18	
48	-nan	0.48	0.985129	3.62168e-18	
49	-nan	0.49	0.985204	3.62168e-18	
50	-nan	0.5	0.985281	3.62168e-18	
51	-nan	0.51	0.98536	3.62168e-18	
52	-nan	0.52	0.98544	3.62168e-18	
53	-nan	0.53	0.985521	3.62168e-18	
54	-nan	0.54	0.985604	3.62168e-18	
55	-nan	0.55	0.985688	3.62168e-18	
56	-nan	0.56	0.985773	3.62168e-18	
57	-nan	0.57	0.98586	3.62168e-18	
58	-nan	0.58	0.985948	3.62168e-18	
59	-nan	0.59	0.986038	3.62168e-18	
60	-nan	0.6	0.986129	3.62168e-18	
61	-nan	0.61	0.986222	3.62168e-18	
62	-nan	0.62	0.986315	3.62168e-18	
63	-nan	0.63	0.98641	3.62168e-18	
64	-nan	0.64	0.986507	3.62168e-18	
65	-nan	0.65	0.986605	3.62168e-18	
66	-nan	0.66	0.986704	3.62168e-18	
67	-nan	0.67	0.986804	3.62168e-18	
68	-nan	0.68	0.986906	3.62168e-18	
69	-nan	0.69	0.987009	3.62168e-18	
70	-nan	0.7	0.987113	3.62168e-18	
71	-nan	0.71	0.987218	3.62168e-18	
72	-nan	0.72	0.987325	3.62168e-18	
73	-nan	0.73	0.987433	3.62168e-18	
74	-nan	0.74	0.987542	3.62168e-18	
75	-nan	0.75	0.987653	3.62168e-18	
76	-nan	0.76	0.987764	3.62168e-18	
77	-nan	0.77	0.987877	3.62168e-18	
78	-nan	0.78	0.987991	3.62168e-18	
79	-nan	0.79	0.988107	3.62168e-18	
80	-nan	0.8	0.988223	3.62168e-18	
81	-nan	0.81	0.988341	3.62168e-18	
82	-nan	0.82	0.988459	3.62168e-18	
83	-nan	0.83	0.988579	3.62168e-18	
84	-nan	0.84	0.9887	3.62168e-18	
85	-nan	0.85	0.988823	3.62168e-18	
86	-nan	0.86	0.988946	3.62168e-18	
87	-nan	0.87	0.98907	3.62168e-18	
88	-nan	0.88	0.989196	3.62168e-18	
89	-nan	0.89	0.989322	3.62168e-18	
90	-nan	0.9	0.98945	3.62168e-18	
91	-nan	0.91	0.989578	3.62168e-18	
92	-nan	0.92	0.989708	3.62168e-18	
93	-nan	0.93	0.989839	3.62168e-18	
94	-nan	0.94	0.98997	3.62168e-18	
95	-nan	0.95	0.990103	3.62168e-18	
96	-nan	0.96	0.990237	3.62168e-18	
97	-nan	0.97	0.990372	3.62168e-18	
98	-nan	0.98	0.990507	3.62168e-18	
99	-nan	0.99	0.990644	3.62168e-18	
100	-nan	1	0.990781	3.62168e-18	
101	-nan	1.01	0.99092	3.62168e-18	
102	-nan	1.02	0.991059	3.62168e-18	
103	-nan	1.03	0.991199	3.62168e-18	
104	-nan	1.04	0.99134	3.62168e-18	
105	-nan	1.05	0.991482	3.62168e-18	
106	-nan	1.06	0.991625	3.62168e-18	
107	-nan	1.07	0.991769	3.62168e-18	
108	-nan	1.08	0.991914	3.62168e-18	
109	-nan	1.09	0.992059	3.62168e-18	
110	-nan	1.1	0.992205	3.62168e-18	
111	-nan	1.11	0.992352	3.62168e-18	
112	-nan	1.12	0.9925	3.62168e-18	
113	-nan	1.13	0.992648	3.62168e-18	
114	-nan	1.14	0.992798	3.62168e-18	
115	-nan	1.15	0.992947	3.62168e-18	
116	-nan	1.16	0.993098	3.62168e-18	
