x	RK4	y_a1	E
0	-2.75	1	3.75
0.1	-0.628289	0.85	1.47829
0.2	-3.18646	0.7	3.88646
0.3	0.469731	0.55	0.0802687
0.4	-2.52774	0.4	2.92774
0.5	-1.05367	0.25	1.30367
0.6	-2.88644	0.1	2.98644
0.7	-0.166651	-0.05	0.116651
0.8	-2.41588	-0.2	2.21588
0.9	-1.24516	-0.35	0.895156
1	-2.65744	-0.5	2.15744
1.1	-0.613626	-0.65	0.0363742
1.2	-2.07744	-0.8	1.27744
1.3	-1.8767	-0.95	0.926695
1.4	-2.16384	-1.1	1.06384
1.5	-1.7095	-1.25	0.4595
1.6	-2.25994	-1.4	0.859937
1.7	-1.42241	-1.55	0.127592
1.8	-1.47634	-1.7	0.223664
1.9	-0.500295	-1.85	1.3497
2	-4.22046e+15	-2	4.22046e+15
2.1	-1.48436e+32	-2.15	1.48436e+32
2.2	-9.18051e+64	-2.3	9.18051e+64
2.3	-2.34116e+130	-2.45	2.34116e+130
2.4	-1.14188e+261	-2.6	1.14188e+261
2.5	-inf	-2.75	inf
2.6	-nan	-2.9	nan
2.7	-nan	-3.05	nan
2.8	-nan	-3.2	nan
2.9	-nan	-3.35	nan
3	-nan	-3.5	nan
3.1	-nan	-3.65	nan
3.2	-nan	-3.8	nan
3.3	-nan	-3.95	nan
3.4	-nan	-4.1	nan
3.5	-nan	-4.25	nan
3.6	-nan	-4.4	nan
3.7	-nan	-4.55	nan
3.8	-nan	-4.7	nan
3.9	-nan	-4.85	nan
4	-nan	-5	nan
4.1	-nan	-5.15	nan
4.2	-nan	-5.3	nan
4.3	-nan	-5.45	nan
4.4	-nan	-5.6	nan
4.5	-nan	-5.75	nan
4.6	-nan	-5.9	nan
4.7	-nan	-6.05	nan
4.8	-nan	-6.2	nan
4.9	-nan	-6.35	nan
5	-nan	-6.5	nan
5.1	-nan	-6.65	nan
5.2	-nan	-6.8	nan
5.3	-nan	-6.95	nan
5.4	-nan	-7.1	nan
5.5	-nan	-7.25	nan
5.6	-nan	-7.4	nan
5.7	-nan	-7.55	nan
5.8	-nan	-7.7	nan
5.9	-nan	-7.85	nan
6	-nan	-8	nan
6.1	-nan	-8.15	nan
6.2	-nan	-8.3	nan
6.3	-nan	-8.45	nan
6.4	-nan	-8.6	nan
6.5	-nan	-8.75	nan
6.6	-nan	-8.9	nan
6.7	-nan	-9.05	nan
6.8	-nan	-9.2	nan
6.9	-nan	-9.35	nan
7	-nan	-9.5	nan
7.1	-nan	-9.65	nan
7.2	-nan	-9.8	nan
7.3	-nan	-9.95	nan
7.4	-nan	-10.1	nan
7.5	-nan	-10.25	nan
7.6	-nan	-10.4	nan
7.7	-nan	-10.55	nan
7.8	-nan	-10.7	nan
7.9	-nan	-10.85	nan
8	-nan	-11	nan
8.1	-nan	-11.15	nan
8.2	-nan	-11.3	nan
8.3	-nan	-11.45	nan
8.4	-nan	-11.6	nan
8.5	-nan	-11.75	nan
8.6	-nan	-11.9	nan
8.7	-nan	-12.05	nan
8.8	-nan	-12.2	nan
8.9	-nan	-12.35	nan
9	-nan	-12.5	nan
9.1	-nan	-12.65	nan
9.2	-nan	-12.8	nan
9.3	-nan	-12.95	nan
9.4	-nan	-13.1	nan
9.5	-nan	-13.25	nan
9.6	-nan	-13.4	nan
9.7	-nan	-13.55	nan
9.8	-nan	-13.7	nan
9.9	-nan	-13.85	nan
10	-nan	-14	nan
