x	RK4	y_a1	E
-0.5	2	2	0
-0.4	20.1677	2.6125	17.5552
-0.3	5102.68	3.6	5099.08
-0.2	1.35245e+09	5.525	1.35245e+09
-0.1	5.62318e+20	11.2	5.62318e+20
-2.77556e-17	-inf	4.05324e+16	inf
0.1	-inf	-11.2	inf
0.2	-inf	-5.525	inf
0.3	-inf	-3.6	inf
0.4	-inf	-2.6125	inf
0.5	-nan	-2	nan
0.6	-nan	-1.575	nan
0.7	-nan	-1.25714	nan
0.8	-nan	-1.00625	nan
0.9	-nan	-0.8	nan
1	-nan	-0.625	nan
1.1	-nan	-0.472727	nan
1.2	-nan	-0.3375	nan
1.3	-nan	-0.215385	nan
1.4	-nan	-0.103571	nan
1.5	-nan	2.22045e-16	nan
1.6	-nan	0.096875	nan
1.7	-nan	0.188235	nan
1.8	-nan	0.275	nan
1.9	-nan	0.357895	nan
2	-nan	0.4375	nan
2.1	-nan	0.514286	nan
2.2	-nan	0.588636	nan
2.3	-nan	0.66087	nan
2.4	-nan	0.73125	nan
2.5	-nan	0.8	nan
2.6	-nan	0.867308	nan
2.7	-nan	0.933333	nan
2.8	-nan	0.998214	nan
2.9	-nan	1.06207	nan
3	-nan	1.125	nan
3.1	-nan	1.1871	nan
3.2	-nan	1.24844	nan
3.3	-nan	1.30909	nan
3.4	-nan	1.36912	nan
3.5	-nan	1.42857	nan
3.6	-nan	1.4875	nan
3.7	-nan	1.54595	nan
3.8	-nan	1.60395	nan
3.9	-nan	1.66154	nan
4	-nan	1.71875	nan
4.1	-nan	1.77561	nan
4.2	-nan	1.83214	nan
4.3	-nan	1.88837	nan
4.4	-nan	1.94432	nan
4.5	-nan	2	nan
4.6	-nan	2.05543	nan
4.7	-nan	2.11064	nan
4.8	-nan	2.16562	nan
4.9	-nan	2.22041	nan
5	-nan	2.275	nan
5.1	-nan	2.32941	nan
5.2	-nan	2.38365	nan
5.3	-nan	2.43774	nan
5.4	-nan	2.49167	nan
5.5	-nan	2.54545	nan
5.6	-nan	2.59911	nan
5.7	-nan	2.65263	nan
5.8	-nan	2.70603	nan
5.9	-nan	2.75932	nan
6	-nan	2.8125	nan
6.1	-nan	2.86557	nan
6.2	-nan	2.91855	nan
6.3	-nan	2.97143	nan
6.4	-nan	3.02422	nan
6.5	-nan	3.07692	nan
6.6	-nan	3.12955	nan
6.7	-nan	3.18209	nan
6.8	-nan	3.23456	nan
6.9	-nan	3.28696	nan
7	-nan	3.33929	nan
7.1	-nan	3.39155	nan
7.2	-nan	3.44375	nan
7.3	-nan	3.49589	nan
7.4	-nan	3.54797	nan
7.5	-nan	3.6	nan
7.6	-nan	3.65197	nan
7.7	-nan	3.7039	nan
7.8	-nan	3.75577	nan
7.9	-nan	3.80759	nan
8	-nan	3.85937	nan
8.1	-nan	3.91111	nan
8.2	-nan	3.9628	nan
8.3	-nan	4.01446	nan
8.4	-nan	4.06607	nan
8.5	-nan	4.11765	nan
8.6	-nan	4.16919	nan
8.7	-nan	4.22069	nan
8.8	-nan	4.27216	nan
8.9	-nan	4.3236	nan
9	-nan	4.375	nan
9.1	-nan	4.42637	nan
9.2	-nan	4.47772	nan
9.3	-nan	4.52903	nan
9.4	-nan	4.58032	nan
9.5	-nan	4.63158	nan
9.6	-nan	4.68281	nan
9.7	-nan	4.73402	nan
9.8	-nan	4.7852	nan
9.9	-nan	4.83636	nan
10	-nan	4.8875	nan
