x	RK4	y_a1	E
0	1	1	0
0.1	19.0126	1.70395	17.3086
0.2	43.9651	2.2312	41.7339
0.3	69.1549	2.60395	66.551
0.4	91.1063	2.8432	88.2631
0.5	108.619	2.96875	105.651
0.6	121.993	2.9992	118.994
0.7	132.406	2.95195	129.454
0.8	141.429	2.8432	138.586
0.9	150.666	2.68795	147.978
1	161.5	2.5	159
1.1	174.922	2.29195	172.63
1.2	191.449	2.0752	189.373
1.3	211.095	1.85995	209.235
1.4	233.403	1.6552	231.748
1.5	257.505	1.46875	256.036
1.6	282.221	1.3072	280.914
1.7	306.177	1.17595	305.001
1.8	327.925	1.0792	326.845
1.9	346.072	1.01995	345.052
2	359.405	1	358.405
2.1	366.999	1.01995	365.979
2.2	368.309	1.0792	367.23
2.3	363.245	1.17595	362.069
2.4	352.212	1.3072	350.905
2.5	336.132	1.46875	334.663
2.6	316.421	1.6552	314.765
2.7	294.946	1.85995	293.086
2.8	273.943	2.0752	271.868
2.9	255.896	2.29195	253.604
3	243.396	2.5	240.896
3.1	238.959	2.68795	236.271
3.2	244.822	2.8432	241.979
3.3	262.713	2.95195	259.761
3.4	293.604	2.9992	290.604
3.5	337.445	2.96875	334.476
3.6	392.896	2.8432	390.053
3.7	457.053	2.60395	454.449
3.8	525.183	2.2312	522.952
3.9	590.473	1.70395	588.769
4	643.806	1	642.806
4.1	673.571	0.09595	673.475
4.2	665.515	-1.0328	666.548
4.3	602.663	-2.41205	605.075
4.4	465.301	-4.0688	469.369
4.5	231.043	-6.03125	237.074
4.6	-124.994	-8.3288	116.665
4.7	-629.909	-10.992	618.917
4.8	-1312.6	-14.0528	1298.55
4.9	-2203.21	-17.544	2185.66
5	-3332.38	-21.5	3310.88
5.1	-4730.34	-25.956	4704.39
5.2	-6425.83	-30.9488	6394.88
5.3	-8444.68	-36.516	8408.17
5.4	-10808.3	-42.6968	10765.6
5.5	-13531.8	-49.5312	13482.3
5.6	-16621.8	-57.0608	16564.8
5.7	-20074.1	-65.328	20008.8
5.8	-23870.6	-74.3768	23796.2
5.9	-27976.5	-84.252	27892.3
6	-32336.5	-95	32241.5
6.1	-36870.9	-106.668	36764.2
6.2	-41471.2	-119.305	41351.9
6.3	-45995.1	-132.96	45862.1
6.4	-50261.2	-147.685	50113.5
6.5	-54043.2	-163.531	53879.7
6.6	-57063.2	-180.553	56882.6
6.7	-58984.4	-198.804	58785.6
6.8	-59404	-218.341	59185.6
6.9	-57844.1	-239.22	57604.9
7	-53743.3	-261.5	53481.8
7.1	-46446.2	-285.24	46160.9
7.2	-35193.2	-310.501	34882.7
7.3	-19109.1	-337.344	18771.8
7.4	2809.29	-365.833	3175.13
7.5	31706.4	-396.031	32102.4
7.6	68881.6	-428.005	69309.6
7.7	115805	-461.82	116266
7.8	174131	-497.545	174629
7.9	245721	-535.248	246256
8	332654	-575	333229
8.1	437253	-616.872	437870
8.2	562100	-660.937	562761
8.3	710060	-707.268	710768
8.4	884308	-755.941	885063
8.5	1.08834e+06	-807.031	1.08915e+06
8.6	1.32603e+06	-860.617	1.32689e+06
8.7	1.6016e+06	-916.776	1.60251e+06
8.8	1.91971e+06	-975.589	1.92069e+06
8.9	2.28546e+06	-1037.14	2.2865e+06
9	2.70442e+06	-1101.5	2.70552e+06
9.1	3.18266e+06	-1168.76	3.18383e+06
9.2	3.7268e+06	-1239.01	3.72804e+06
9.3	4.34403e+06	-1312.33	4.34534e+06
9.4	5.04217e+06	-1388.81	5.04356e+06
9.5	5.8297e+06	-1468.53	5.83116e+06
9.6	6.71576e+06	-1551.59	6.71732e+06
9.7	7.71029e+06	-1638.07	7.71193e+06
9.8	8.82399e+06	-1728.07	8.82571e+06
9.9	1.00684e+07	-1821.68	1.00702e+07
10	1.14559e+07	-1919	1.14578e+07
